capital,funcao,ano,valor_empenhado,valor_pago,taxa_execucao_pct
Prefeitura Municipal de Porto Velho - RO,10 - Saúde,2024,575357853.81,557351608.23,96.9
Prefeitura Municipal de Teresina - PI,10 - Saúde,2024,1798591840.56,1740078261.66,96.7
Prefeitura Municipal de São Paulo - SP,10 - Saúde,2024,22752837820.49,21854464654.11,96.1
Prefeitura Municipal de Goiânia - GO,10 - Saúde,2024,2157573979.74,2068845703.41,95.9
Prefeitura Municipal de Macapá - AP,10 - Saúde,2024,456225235.16,435678290.25,95.5
Prefeitura Municipal de Manaus - AM,10 - Saúde,2024,1715811017.44,1637646138.68,95.4
Prefeitura Municipal de Fortaleza - CE,10 - Saúde,2024,3698473661.24,3508508267.82,94.9
Prefeitura Municipal de Boa Vista - RR,10 - Saúde,2024,530103269.7,499842195.47,94.3
Prefeitura Municipal de João Pessoa - PB,10 - Saúde,2024,1246415417.2,1175293238.46,94.3
Prefeitura Municipal do Rio de Janeiro - RJ,10 - Saúde,2024,7642644288.09,7093295406.04,92.8
Prefeitura Municipal de Florianópolis - SC,10 - Saúde,2024,598654452.96,550128741.08,91.9
Prefeitura Municipal de Natal - RN,10 - Saúde,2024,1392634101.96,1276229987.07,91.6
Prefeitura Municipal de Belo Horizonte - MG,10 - Saúde,2024,5993532028.34,5391129586.4,89.9
Prefeitura Municipal de São Luís - MA,10 - Saúde,2024,1442548421.74,1291047714.74,89.5
Prefeitura Municipal de Vitória - ES,10 - Saúde,2024,503003429.15,447824735.03,89.0
Prefeitura Municipal de Campo Grande - MS,10 - Saúde,2024,1984757017.22,1750535980.59,88.2
Prefeitura Municipal de Porto Alegre - RS,10 - Saúde,2024,2799019820.54,2443202864.91,87.3
Prefeitura Municipal de Cuiabá - MT,10 - Saúde,2024,1180465001.47,1007145444.98,85.3
Prefeitura Municipal de Porto Velho - RO,11 - Trabalho,2024,1269638.57,1269504.88,100.0
Prefeitura Municipal de Vitória - ES,11 - Trabalho,2024,66319.08,66319.08,100.0
Prefeitura Municipal de Palmas - TO,11 - Trabalho,2024,1885261.56,1885261.56,100.0
Prefeitura Municipal de Rio Branco - AC,11 - Trabalho,2024,6778837.11,6778837.11,100.0
Prefeitura Municipal de Fortaleza - CE,11 - Trabalho,2024,27661776.5,27640931.46,99.9
Prefeitura Municipal de Belém - PA,11 - Trabalho,2024,7133022.95,7120022.95,99.8
Prefeitura Municipal de Macapá - AP,11 - Trabalho,2024,6720738.05,6677064.48,99.4
Prefeitura Municipal de João Pessoa - PB,11 - Trabalho,2024,6963279.86,6870880.81,98.7
Prefeitura Municipal de Recife - PE,11 - Trabalho,2024,20944685.9,20583200.86,98.3
Prefeitura Municipal de Maceió - AL,11 - Trabalho,2024,10901404.49,10672032.0,97.9
Prefeitura Municipal de Aracaju - SE,11 - Trabalho,2024,10023342.09,9585022.69,95.6
Prefeitura Municipal de São Paulo - SP,11 - Trabalho,2024,490810113.49,467314058.81,95.2
Prefeitura Municipal do Rio de Janeiro - RJ,11 - Trabalho,2024,150966658.0,143382938.71,95.0
Prefeitura Municipal de Manaus - AM,11 - Trabalho,2024,48081350.71,45471746.02,94.6
Prefeitura Municipal de Campo Grande - MS,11 - Trabalho,2024,72807662.93,68173110.18,93.6
Prefeitura Municipal de Florianópolis - SC,11 - Trabalho,2024,926007.0,859340.34,92.8
Prefeitura Municipal de Salvador - BA,11 - Trabalho,2024,40686212.15,36890555.24,90.7
Prefeitura Municipal de Curitiba - PR,11 - Trabalho,2024,2650202.71,2374334.32,89.6
Prefeitura Municipal de Belo Horizonte - MG,11 - Trabalho,2024,6182414.3,5477330.5,88.6
Prefeitura Municipal de Cuiabá - MT,11 - Trabalho,2024,16441283.07,14342723.56,87.2
Prefeitura Municipal de Porto Alegre - RS,11 - Trabalho,2024,2617098.85,2185331.13,83.5
Prefeitura Municipal de Teresina - PI,11 - Trabalho,2024,9166256.27,6690509.12,73.0
