capital,funcao,populacao,total_pago,gasto_per_capita
Prefeitura Municipal do Rio de Janeiro - RJ,09 - Previdência Social,6625849,6260036852.91,944.79
Prefeitura Municipal de Goiânia - GO,09 - Previdência Social,1414483,1173368828.06,829.54
Prefeitura Municipal de Florianópolis - SC,09 - Previdência Social,574200,459126021.22,799.59
Prefeitura Municipal de Belo Horizonte - MG,09 - Previdência Social,2392678,1803031351.79,753.56
Prefeitura Municipal de Aracaju - SE,09 - Previdência Social,605309,423140206.45,699.05
Prefeitura Municipal de Cuiabá - MT,09 - Previdência Social,694244,455287637.6,655.8
Prefeitura Municipal de Campo Grande - MS,09 - Previdência Social,942140,607563812.94,644.88
Prefeitura Municipal de Fortaleza - CE,09 - Previdência Social,2596157,1502276895.91,578.65
Prefeitura Municipal de Teresina - PI,09 - Previdência Social,868523,487710941.48,561.54
Prefeitura Municipal de Natal - RN,09 - Previdência Social,751932,421872302.92,561.05
Prefeitura Municipal de Recife - PE,09 - Previdência Social,1494586,777367478.23,520.12
Prefeitura Municipal de Maceió - AL,09 - Previdência Social,960667,486918379.65,506.85
Prefeitura Municipal de João Pessoa - PB,09 - Previdência Social,889618,442818392.23,497.76
Prefeitura Municipal de São Luís - MA,09 - Previdência Social,1061374,500496616.0,471.56
Prefeitura Municipal de Porto Velho - RO,09 - Previdência Social,461748,215578737.57,466.88
Prefeitura Municipal de Palmas - TO,09 - Previdência Social,334454,109944880.27,328.73
Prefeitura Municipal de Macapá - AP,09 - Previdência Social,478448,151594288.46,316.85
Prefeitura Municipal de Rio Branco - AC,09 - Previdência Social,364368,108665762.49,298.23
Prefeitura Municipal de Manaus - AM,09 - Previdência Social,2054731,603916161.78,293.91
Prefeitura Municipal de Salvador - BA,09 - Previdência Social,2610987,700126882.32,268.15
Prefeitura Municipal de Boa Vista - RR,09 - Previdência Social,408157,52004061.24,127.41
Prefeitura Municipal de Belém - PA,09 - Previdência Social,1367336,18797959.77,13.75
Prefeitura Municipal de Belo Horizonte - MG,10 - Saúde,2392678,5391129586.4,2253.18
Prefeitura Municipal de Teresina - PI,10 - Saúde,868523,1740078261.66,2003.49
Prefeitura Municipal de Campo Grande - MS,10 - Saúde,942140,1750535980.59,1858.04
Prefeitura Municipal de São Paulo - SP,10 - Saúde,12200180,21854464654.11,1791.32
Prefeitura Municipal de Porto Alegre - RS,10 - Saúde,1404269,2443202864.91,1739.84
Prefeitura Municipal de Natal - RN,10 - Saúde,751932,1276229987.07,1697.27
Prefeitura Municipal de Curitiba - PR,10 - Saúde,1871789,3029796239.02,1618.66
Prefeitura Municipal de Goiânia - GO,10 - Saúde,1414483,2068845703.41,1462.62
Prefeitura Municipal de Cuiabá - MT,10 - Saúde,694244,1007145444.98,1450.71
Prefeitura Municipal de Fortaleza - CE,10 - Saúde,2596157,3508508267.82,1351.42
Prefeitura Municipal de Vitória - ES,10 - Saúde,331785,447824735.03,1349.74
Prefeitura Municipal de João Pessoa - PB,10 - Saúde,889618,1175293238.46,1321.12
Prefeitura Municipal de Maceió - AL,10 - Saúde,960667,1262955548.42,1314.67
Prefeitura Municipal de Recife - PE,10 - Saúde,1494586,1910772845.55,1278.46
Prefeitura Municipal de Boa Vista - RR,10 - Saúde,408157,499842195.47,1224.63
Prefeitura Municipal de São Luís - MA,10 - Saúde,1061374,1291047714.74,1216.39
Prefeitura Municipal de Porto Velho - RO,10 - Saúde,461748,557351608.23,1207.05
Prefeitura Municipal de Palmas - TO,10 - Saúde,334454,376173922.36,1124.74
Prefeitura Municipal de Salvador - BA,10 - Saúde,2610987,2861717678.29,1096.03
Prefeitura Municipal do Rio de Janeiro - RJ,10 - Saúde,6625849,7093295406.04,1070.55
Prefeitura Municipal de Belém - PA,10 - Saúde,1367336,1441659055.31,1054.36
Prefeitura Municipal de Aracaju - SE,10 - Saúde,605309,632194641.47,1044.42
Prefeitura Municipal de Florianópolis - SC,10 - Saúde,574200,550128741.08,958.08
Prefeitura Municipal de Macapá - AP,10 - Saúde,478448,435678290.25,910.61
Prefeitura Municipal de Rio Branco - AC,10 - Saúde,364368,315016994.52,864.56
Prefeitura Municipal de Manaus - AM,10 - Saúde,2054731,1637646138.68,797.01
Prefeitura Municipal de Campo Grande - MS,11 - Trabalho,942140,68173110.18,72.36
Prefeitura Municipal de São Paulo - SP,11 - Trabalho,12200180,467314058.81,38.3
Prefeitura Municipal de Manaus - AM,11 - Trabalho,2054731,45471746.02,22.13
Prefeitura Municipal do Rio de Janeiro - RJ,11 - Trabalho,6625849,143382938.71,21.64
Prefeitura Municipal de Cuiabá - MT,11 - Trabalho,694244,14342723.56,20.66
Prefeitura Municipal de Rio Branco - AC,11 - Trabalho,364368,6778837.11,18.6
Prefeitura Municipal de Aracaju - SE,11 - Trabalho,605309,9585022.69,15.83
Prefeitura Municipal de Salvador - BA,11 - Trabalho,2610987,36890555.24,14.13
Prefeitura Municipal de Macapá - AP,11 - Trabalho,478448,6677064.48,13.96
Prefeitura Municipal de Recife - PE,11 - Trabalho,1494586,20583200.86,13.77
Prefeitura Municipal de Maceió - AL,11 - Trabalho,960667,10672032.0,11.11
Prefeitura Municipal de Fortaleza - CE,11 - Trabalho,2596157,27640931.46,10.65
Prefeitura Municipal de João Pessoa - PB,11 - Trabalho,889618,6870880.81,7.72
Prefeitura Municipal de Teresina - PI,11 - Trabalho,868523,6690509.12,7.7
Prefeitura Municipal de Palmas - TO,11 - Trabalho,334454,1885261.56,5.64
Prefeitura Municipal de Belém - PA,11 - Trabalho,1367336,7120022.95,5.21
Prefeitura Municipal de Porto Velho - RO,11 - Trabalho,461748,1269504.88,2.75
Prefeitura Municipal de Belo Horizonte - MG,11 - Trabalho,2392678,5477330.5,2.29
Prefeitura Municipal de Porto Alegre - RS,11 - Trabalho,1404269,2185331.13,1.56
Prefeitura Municipal de Florianópolis - SC,11 - Trabalho,574200,859340.34,1.5
Prefeitura Municipal de Curitiba - PR,11 - Trabalho,1871789,2374334.32,1.27
Prefeitura Municipal de Vitória - ES,11 - Trabalho,331785,66319.08,0.2
Prefeitura Municipal de Vitória - ES,12 - Educação,331785,740591170.17,2232.14
Prefeitura Municipal de São Paulo - SP,12 - Educação,12200180,22301640088.44,1827.98
Prefeitura Municipal de Palmas - TO,12 - Educação,334454,605359691.88,1809.99
Prefeitura Municipal de Boa Vista - RR,12 - Educação,408157,657546410.76,1611.01
Prefeitura Municipal de Florianópolis - SC,12 - Educação,574200,840749208.12,1464.21
Prefeitura Municipal de Campo Grande - MS,12 - Educação,942140,1331907104.3,1413.7
Prefeitura Municipal de Manaus - AM,12 - Educação,2054731,2664634072.18,1296.83
Prefeitura Municipal de Belo Horizonte - MG,12 - Educação,2392678,3023311311.88,1263.57
Prefeitura Municipal de Porto Velho - RO,12 - Educação,461748,562896452.2,1219.06
Prefeitura Municipal de Goiânia - GO,12 - Educação,1414483,1717145321.53,1213.97
Prefeitura Municipal de Recife - PE,12 - Educação,1494586,1733169124.07,1159.63
Prefeitura Municipal de Fortaleza - CE,12 - Educação,2596157,2881019379.76,1109.72
Prefeitura Municipal de Curitiba - PR,12 - Educação,1871789,2046785327.24,1093.49
Prefeitura Municipal de Cuiabá - MT,12 - Educação,694244,706813377.65,1018.11
Prefeitura Municipal de Teresina - PI,12 - Educação,868523,883569386.64,1017.32
Prefeitura Municipal do Rio de Janeiro - RJ,12 - Educação,6625849,6475560709.52,977.32
Prefeitura Municipal de São Luís - MA,12 - Educação,1061374,1017519651.53,958.68
Prefeitura Municipal de Salvador - BA,12 - Educação,2610987,2498360333.28,956.86
Prefeitura Municipal de Macapá - AP,12 - Educação,478448,450811306.25,942.24
Prefeitura Municipal de Rio Branco - AC,12 - Educação,364368,338125234.01,927.98
Prefeitura Municipal de João Pessoa - PB,12 - Educação,889618,785470986.59,882.93
Prefeitura Municipal de Aracaju - SE,12 - Educação,605309,530480659.42,876.38
